Name;Location;Audience;Audience_Qaulity;Price1;Post_kind1;Price2;Post_kind2;Price3;Post_kind3;Price4;Post_kind4
Леся;Санкт-Петербург, Россия;2 587;['12%'];1 552 ₽;Пост + Stories;776 ₽;Серия Stories (3-5);1 086 ₽;Пост в ленте;465 ₽;Stories
Татьяна;Москва, Россия;12 419;['25%'];5 870 ₽;Пост + Stories;2 935 ₽;Серия Stories (3-5);4 109 ₽;Пост в ленте;1 761 ₽;Stories
Ксения;Москва, Россия;1 181;['14%'];709 ₽;Пост + Stories;354 ₽;Серия Stories (3-5);496 ₽;Пост в ленте;212 ₽;Stories
Юлия;Москва, Россия;6 061;['23%'];3 482 ₽;Пост + Stories;1 741 ₽;Серия Stories (3-5);2 437 ₽;Пост в ленте;1 044 ₽;Stories
Рита;Москва, Россия;6 291;['27%'];3 579 ₽;Пост + Stories;1 789 ₽;Серия Stories (3-5);2 505 ₽;Пост в ленте;1 073 ₽;Stories
Екатерина;Москва, Россия;16 082;['30%'];7 425 ₽;Пост + Stories;3 712 ₽;Серия Stories (3-5);5 197 ₽;Пост в ленте;2 227 ₽;Stories
Оксана;Москва, Россия;11 258;['13%'];5 361 ₽;Пост + Stories;2 680 ₽;Серия Stories (3-5);3 752 ₽;Пост в ленте;1 608 ₽;Stories
Хлоя;Москва, Россия;4 650;['23%'];2 790 ₽;Пост + Stories;1 395 ₽;Серия Stories (3-5);1 952 ₽;Пост в ленте;837 ₽;Stories
Светлана;Москва, Россия;5 293;['35%'];3 138 ₽;Пост + Stories;1 569 ₽;Серия Stories (3-5);2 196 ₽;Пост в ленте;941 ₽;Stories
Руслан;Москва, Россия;4 166;['32%'];2 499 ₽;Пост + Stories;1 249 ₽;Серия Stories (3-5);1 749 ₽;Пост в ленте;749 ₽;Stories
Анастасия;Москва, Россия;6 472;['22%'];3 654 ₽;Пост + Stories;1 827 ₽;Серия Stories (3-5);2 557 ₽;Пост в ленте;1 096 ₽;Stories
Юрий;Москва, Россия;7 949;['29%'];4 207 ₽;Пост + Stories;2 103 ₽;Серия Stories (3-5);2 944 ₽;Пост в ленте;1 262 ₽;Stories
Catrin;Москва, Россия;2 042;['33%'];1 225 ₽;Пост + Stories;612 ₽;Серия Stories (3-5);857 ₽;Пост в ленте;367 ₽;Stories
Rada;Москва, Россия;4 801;['28%'];2 881 ₽;Пост + Stories;1 440 ₽;Серия Stories (3-5);2 016 ₽;Пост в ленте;864 ₽;Stories
Мария;Москва, Россия;915;['28%'];549 ₽;Пост + Stories;274 ₽;Серия Stories (3-5);384 ₽;Пост в ленте;164 ₽;Stories
Екатерина;Москва, Россия;6 290;['14%'];3 579 ₽;Пост + Stories;1 789 ₽;Серия Stories (3-5);2 505 ₽;Пост в ленте;1 073 ₽;Stories
Екатерина;Москва, Россия;37 077;['27%'];14 785 ₽;Пост + Stories;7 392 ₽;Серия Stories (3-5);10 349 ₽;Пост в ленте;4 435 ₽;Stories
Александра;Санкт-Петербург, Россия;2 346;['27%'];1 407 ₽;Пост + Stories;703 ₽;Серия Stories (3-5);984 ₽;Пост в ленте;422 ₽;Stories
Наталья;Санкт-Петербург, Россия;4 734;['35%'];2 840 ₽;Пост + Stories;1 420 ₽;Серия Stories (3-5);1 987 ₽;Пост в ленте;852 ₽;Stories
Юлия;Москва, Россия;6 869;['42%'];3 813 ₽;Пост + Stories;1 906 ₽;Серия Stories (3-5);2 669 ₽;Пост в ленте;1 143 ₽;Stories
Виктория;Москва, Россия;5 254;['42%'];3 120 ₽;Пост + Stories;1 560 ₽;Серия Stories (3-5);2 184 ₽;Пост в ленте;936 ₽;Stories
Оксана;Москва, Россия;1 332;['27%'];799 ₽;Пост + Stories;399 ₽;Серия Stories (3-5);559 ₽;Пост в ленте;239 ₽;Stories
Анна;Москва, Россия;5 323;['17%'];3 152 ₽;Пост + Stories;1 576 ₽;Серия Stories (3-5);2 206 ₽;Пост в ленте;945 ₽;Stories
Катерина;Москва, Россия;6 330;['36%'];3 596 ₽;Пост + Stories;1 798 ₽;Серия Stories (3-5);2 517 ₽;Пост в ленте;1 078 ₽;Stories
Светлана;Москва, Россия;13 153;['41%'];6 189 ₽;Пост + Stories;3 094 ₽;Серия Stories (3-5);4 332 ₽;Пост в ленте;1 856 ₽;Stories
Надежда;Санкт-Петербург, Россия;5 465;<span>41%</span>;3 218 ₽;Пост + Stories;1 609 ₽;Серия Stories (3-5);2 252 ₽;Пост в ленте;965 ₽;Stories
Таня;Санкт-Петербург, Россия;3 524;<span>31%</span>;2 114 ₽;Пост + Stories;1 057 ₽;Серия Stories (3-5);1 479 ₽;Пост в ленте;634 ₽;Stories
Оксана;Москва, Россия;6 994;<span>27%</span>;3 861 ₽;Пост + Stories;1 930 ₽;Серия Stories (3-5);2 702 ₽;Пост в ленте;1 158 ₽;Stories
Наталия;Москва, Россия;4 578;<span>32%</span>;2 746 ₽;Пост + Stories;1 373 ₽;Серия Stories (3-5);1 922 ₽;Пост в ленте;823 ₽;Stories
Татьяна;Москва, Россия;46 523;<span>23%</span>;17 233 ₽;Пост + Stories;8 616 ₽;Серия Stories (3-5);12 063 ₽;Пост в ленте;5 169 ₽;Stories
Алена;Москва, Россия;22 552;<span>32%</span>;9 975 ₽;Пост + Stories;4 987 ₽;Серия Stories (3-5);6 982 ₽;Пост в ленте;2 992 ₽;Stories
Мария;Москва, Россия;12 896;<span>39%</span>;6 078 ₽;Пост + Stories;3 039 ₽;Серия Stories (3-5);4 254 ₽;Пост в ленте;1 823 ₽;Stories
Светлана;Москва, Россия;15 690;<span>24%</span>;7 263 ₽;Пост + Stories;3 631 ₽;Серия Stories (3-5);5 084 ₽;Пост в ленте;2 178 ₽;Stories
Valery;Москва, Россия;4 513;<span>22%</span>;2 708 ₽;Пост + Stories;1 354 ₽;Серия Stories (3-5);1 895 ₽;Пост в ленте;812 ₽;Stories
Ольга;Москва, Россия;942;<span>16%</span>;565 ₽;Пост + Stories;282 ₽;Серия Stories (3-5);395 ₽;Пост в ленте;169 ₽;Stories
Дарья;Москва, Россия;3 684;<span>21%</span>;2 210 ₽;Пост + Stories;1 105 ₽;Серия Stories (3-5);1 547 ₽;Пост в ленте;663 ₽;Stories
